run_label,run_id,tr,subjects,trial_selection,trial_seed,trial_limit,split_strategy,permutations,bootstraps,best_model,best_subject,best_roi,best_pearson_r,best_r2,max_statistic_p,n_roi_results,n_nominally_significant,note
TR34 primary,20260509T203904982769Z-local-bold5000-roi-encoding-preprint-tr34-bold5000-ridge-4bdc48f3,TR34,CSI1;CSI2;CSI3;CSI4,random,20260509,1024,stratified_source,1000,256,source_family,CSI2,LHPPA,0.1537148977,0.0161428621,0.0009990010,24,22,Primary timing for CSI1-CSI3; CSI4 shown only as sensitivity because the original BOLD5000 guidance recommends TR3 for CSI4.
TR3 primary for CSI4,20260509T204139326634Z-local-bold5000-roi-encoding-preprint-tr3-bold5000-ridge-78593e4b,TR3,CSI1;CSI2;CSI3;CSI4,random,20260509,1024,stratified_source,1000,256,source_family,CSI4,LHPPA,0.0820463193,0.0021038946,0.0009990010,24,20,Used as canonical CSI4 timing and as timing sensitivity for other subjects.
TR34 grouped-filename sensitivity,20260509T204404400271Z-local-bold5000-roi-encoding-preprint-tr34-grouped-sensitivity-bold5000-ridge-07067cb4,TR34,CSI1;CSI2;CSI3;CSI4,random,20260509,1024,stratified_source_grouped_filename,100,128,source_family,CSI2,LHPPA,0.1751281873,0.0317132547,0.0099009901,24,21,Leakage-control sensitivity with zero exact repeated-filename crossings between train and validation splits.
